Gene symbol	function	property	product	feature_id	patric_id	identity	e_value
fig|562.19188.peg.1458	Thymidine-5'-Triphosphate;2'-Deoxyadenosine 5'-Triphosphate;2'-Deoxycytidine-5'-Triphosphate	Drug Target	Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1)	PATRIC.562.19188.NSEE01000151.CDS.917.3061.rev	fig|562.19188.peg.1458	89	0.0
fig|562.19188.peg.1508		Virulence Factor	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	PATRIC.562.19188.NSEE01000220.CDS.856.1596.rev	fig|562.19188.peg.1508	97	1e-144
fig|562.19188.peg.2060	the nhaa na(+):h(+) antiporter (nhaa) family.	Transporter	Na+/H+ antiporter NhaA type	PATRIC.562.19188.NSEE01000459.CDS.1420.2586.rev	fig|562.19188.peg.2060	99	1e-216
fig|562.19188.peg.3503	the outer bacterial membrane secretin (secretin) family.	Transporter	Type IV pilus biogenesis protein PilQ	PATRIC.562.19188.NSEE01000256.CDS.60693.61853.fwd	fig|562.19188.peg.3503	97	1e-211
fig|562.19188.peg.4824		Virulence Factor	Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	PATRIC.562.19188.NSEE01000160.CDS.35353.39096.rev	fig|562.19188.peg.4824	100	0.0
fig|562.19188.peg.373		Virulence Factor	Exonuclease SbcD	PATRIC.562.19188.NSEE01000227.CDS.13905.15107.rev	fig|562.19188.peg.373	84	1e-197
fig|562.19188.peg.558	2-Dehydropantoate	Drug Target	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	PATRIC.562.19188.NSEE01000154.CDS.9949.10743.rev	fig|562.19188.peg.558	97	1e-146
fig|562.19188.peg.325		Virulence Factor	Uncharacterized protease YegQ	PATRIC.562.19188.NSEE01000045.CDS.580.1941.rev	fig|562.19188.peg.325	96	1e-263
fig|562.19188.peg.1347		Virulence Factor	Phosphomannomutase (EC 5.4.2.8) => Colanic acid	PATRIC.562.19188.NSEE01000092.CDS.914.2293.rev	fig|562.19188.peg.1347	97	1e-258
fig|562.19188.peg.315	2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid;Caprylic acid	Drug Target	Multifunctional acyl-CoA thioesterase I, protease I, lysophospholipase L1	PATRIC.562.19188.NSEE01000311.CDS.5895.6521.fwd	fig|562.19188.peg.315	100	1e-119
fig|562.19188.peg.3368	the atp-binding cassette (abc) superfamily.	Transporter	Nickel ABC transporter, ATP-binding protein NikE (TC 3.A.1.5.3)	PATRIC.562.19188.NSEE01000129.CDS.31851.32657.fwd	fig|562.19188.peg.3368	97	1e-145
fig|562.19188.peg.465	the pts galactitol (gat) family.	Transporter	PTS system, galactitol-specific IIC component	PATRIC.562.19188.NSEE01000003.CDS.4324.5679.rev	fig|562.19188.peg.465	99	1e-259
fig|562.19188.peg.4308	the atp-binding cassette (abc) superfamily.	Transporter	Autoinducer 2 (AI-2) ABC transporter, dimeric ATP-binding protein	PATRIC.562.19188.NSEE01000261.CDS.23706.25241.rev	fig|562.19188.peg.4308	98	1e-286
fig|562.19188.peg.4342		Virulence Factor	Uncharacterized outer membrane protein YpjA	PATRIC.562.19188.NSEE01000060.CDS.25867.26193.rev	fig|562.19188.peg.4342	96	3e-56
fig|562.19188.peg.471	the major facilitator superfamily (mfs).	Transporter	Putative nucleoside transporter YegT	PATRIC.562.19188.NSEE01000003.CDS.10221.11498.fwd	fig|562.19188.peg.471	99	1e-249
fig|562.19188.peg.4917	the ammonium transporter channel (amt) family.	Transporter	Ammonium transporter	PATRIC.562.19188.NSEE01000242.CDS.5769.7055.fwd	fig|562.19188.peg.4917	100	1e-249
fig|562.19188.peg.525	the atp-binding cassette (abc) superfamily.	Transporter	Zinc ABC transporter, ATP-binding protein ZnuC	PATRIC.562.19188.NSEE01000175.CDS.2728.3483.rev	fig|562.19188.peg.525	100	1e-142
fig|562.19188.peg.2367	the pts glucose-glucoside (glc) family.	Transporter	PTS system, beta-glucoside-specific IIB component / PTS system, beta-glucoside-specific IIC component / PTS system, beta-glucoside-specific IIA component	PATRIC.562.19188.NSEE01000147.CDS.6952.8829.fwd	fig|562.19188.peg.2367	99	0.0
fig|562.19188.peg.2312	the atp-binding cassette (abc) superfamily.	Transporter	Oligopeptide transport substrate-binding protein @ Glutathione ABC transporter, substrate-binding protein GsiB	PATRIC.562.19188.NSEE01000350.CDS.36623.38161.rev	fig|562.19188.peg.2312	99	1e-303
fig|562.19188.peg.5347	the h(+) or na(+)-translocating nadh dehydrogenase (ndh) family.	Transporter	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	PATRIC.562.19188.NSEE01000023.CDS.2025.2468.fwd	fig|562.19188.peg.5347	100	2e-79
fig|562.19188.peg.137	the resistance-nodulation-cell division (rnd) superfamily.	Transporter	Multidrug efflux system MdtEF-TolC, inner-membrane proton/drug antiporter MdtF (RND type)	PATRIC.562.19188.NSEE01000142.CDS.8513.11626.fwd	fig|562.19188.peg.137	99	0.0
fig|562.19188.peg.4980	Phosphomethylphosphonic Acid Adenosyl Ester	Drug Target	UDP-sugar hydrolase (EC 3.6.1.45); 5'-nucleotidase (EC 3.1.3.5)	PATRIC.562.19188.NSEE01000223.CDS.6003.7655.rev	fig|562.19188.peg.4980	99	0.0
fig|562.19188.peg.4491	the atp-binding cassette (abc) superfamily.	Transporter	Peptide ABC transporter, substrate-binding protein SapA	PATRIC.562.19188.NSEE01000157.CDS.63241.64884.fwd	fig|562.19188.peg.4491	100	0.0
fig|562.19188.peg.3963	the proposed flagellar biosynthesis na+ channel, flah (flah) family.	Transporter	Flagellar biosynthesis protein FlhA	PATRIC.562.19188.NSEE01000166.CDS.13836.15827.fwd	fig|562.19188.peg.3963	99	0.0
fig|562.19188.peg.2985	Phosphoaminophosphonic Acid-Adenylate Ester	Drug Target	ATP-dependent hsl protease ATP-binding subunit HslU	PATRIC.562.19188.NSEE01000113.CDS.9969.11300.fwd	fig|562.19188.peg.2985	99	1e-249
fig|562.19188.peg.417	N~2~-[(BENZYLOXY)CARBONYL]-N-[(1S,2S)-2-HYDROXY-1-(4-HYDROXYBENZYL)PROPYL]-L-LEUCINAMIDE	Drug Target	ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)	PATRIC.562.19188.NSEE01000227.CDS.57105.57728.fwd	fig|562.19188.peg.417	100	1e-115
fig|562.19188.peg.1059		Virulence Factor	Curli production assembly/transport component CsgG	PATRIC.562.19188.NSEE01000046.CDS.1692.2525.fwd	fig|562.19188.peg.1059	96	1e-150
fig|562.19188.peg.5199	2-Oxy-4-Hydroxy-5-(2-Hydrazinopyridine)Phenylalanine;2-Amino-3-[4-Hydroxy-6-Oxo-3-(2-Phenyl-Cyclopropylimino)-Cyclohexa-1,4-Dienyl]-Propionic Acid;Phenylacetaldehyde;3-Amino-6-Hydroxy-Tyrosine;3-(4-Hydroxy-3-Imino-6-Oxo-Cyclohexa-1,4-Dienyl)-Alanine;2-Phenylethylamine;6-hydroxydopa quinone	Drug Target	Monoamine oxidase (1.4.3.4)	PATRIC.562.19188.NSEE01000070.CDS.75483.77756.fwd	fig|562.19188.peg.5199	99	0.0
fig|562.19188.peg.1169	the major facilitator superfamily (mfs).	Transporter	Uncharacterized integral membrane protein YjiJ	PATRIC.562.19188.NSEE01000042.CDS.5691.6869.rev	fig|562.19188.peg.1169	90	1e-201
fig|562.19188.peg.457		Drug Target	LSU ribosomal protein L1p (L10Ae)	PATRIC.562.19188.NSEE01000177.CDS.10529.11233.rev	fig|562.19188.peg.457	100	1e-126
fig|562.19188.peg.2843	the atp-binding cassette (abc) superfamily.	Transporter	L-cystine ABC transporter (wide substrate range), substrate-binding protein FliY	PATRIC.562.19188.NSEE01000190.CDS.12949.13806.rev	fig|562.19188.peg.2843	99	1e-148
fig|562.19188.peg.2596	the atp-binding cassette (abc) superfamily.	Transporter	Transmembrane component STY3231 of energizing module of queuosine-regulated ECF transporter	PATRIC.562.19188.NSEE01000063.CDS.23684.24391.rev	fig|562.19188.peg.2596	82	1e-109
fig|562.19188.peg.1830	the atp-binding cassette (abc) superfamily.	Transporter	Osmoprotectant ABC transporter permease protein YehY	PATRIC.562.19188.NSEE01000054.CDS.158150.159307.fwd	fig|562.19188.peg.1830	98	1e-215
